Letter,Thumb,Index,Middle,Ring,Pinky,Wrist-rotation-X (Up and down),Wrist rotation-Y (Left),Wrist rotation-Y (Right),Wrist rotation-Z (Elbow Twist)
A,0,1,1,1,1,0,0,0,0
B,1,0,0,0,0,0,0,0,0
C,0,0.5,0.5,0.5,0.5,0,0,0,1
D,0,0,0.5,0.5,0.5,0,0,0,0
E,1,1,1,1,1,0,0,0,0
F,0.5,0.5,0,0,0,0,0,0,0
G,0,0,1,1,1,0,1,1,0
H,0.5,0,0,1,1,0,1,1,0
I,0,1,1,1,0,0,0,0,0
J,1,1,1,1,0,1,0,0,0
K,0,0,0,1,1,0,0,0,0
L,0,0,1,1,1,0,0,0,0
M,0,1,1,1,1,0,0,0,0
N,0,1,1,1,1,0,0,0,0
O,0,0.5,0.5,0.5,0.5,0,0,0,1
P,0,0,0,1,1,1,0,0,0
Q,0,0,1,1,1,1,0,0,0
R,0,0,0,1,1,0,0,0,0
S,0,1,1,1,1,0,0,0,0
T,0,1,1,1,1,0,0,0,0
U,0.5,0,0,1,1,0,0,0,0
V,0.5,0,0,1,1,0,0,0,0
W,0,0,0,0,1,0,0,0,0
X,0.5,0.5,1,1,1,0,0,0,1
Y,0,1,1,1,0,0,0,0,0
Z,1,0,1,1,1,0,0,0,0
